# x 		 y_poly 	 y_cheby
0.000   	 0.5747  	 0.5747  	
0.02000 	 0.6648  	 0.6648  	
0.04000 	 0.7464  	 0.7464  	
0.06000 	 0.8198  	 0.8198  	
0.08000 	 0.8854  	 0.8854  	
0.1000  	 0.9436  	 0.9436  	
0.1200  	 0.9948  	 0.9948  	
0.1400  	 1.039   	 1.039   	
0.1600  	 1.077   	 1.077   	
0.1800  	 1.109   	 1.109   	
0.2000  	 1.136   	 1.136   	
0.2200  	 1.157   	 1.157   	
0.2400  	 1.174   	 1.174   	
0.2600  	 1.186   	 1.186   	
0.2800  	 1.194   	 1.194   	
0.3000  	 1.198   	 1.198   	
0.3200  	 1.199   	 1.199   	
0.3400  	 1.196   	 1.196   	
0.3600  	 1.192   	 1.192   	
0.3800  	 1.184   	 1.184   	
0.4000  	 1.175   	 1.175   	
0.4200  	 1.165   	 1.165   	
0.4400  	 1.153   	 1.153   	
0.4600  	 1.140   	 1.140   	
0.4800  	 1.127   	 1.127   	
0.5000  	 1.114   	 1.114   	
0.5200  	 1.101   	 1.101   	
0.5400  	 1.089   	 1.089   	
0.5600  	 1.078   	 1.078   	
0.5800  	 1.068   	 1.068   	
0.6000  	 1.060   	 1.060   	
0.6200  	 1.055   	 1.055   	
0.6400  	 1.051   	 1.051   	
0.6600  	 1.051   	 1.051   	
0.6800  	 1.054   	 1.054   	
0.7000  	 1.060   	 1.060   	
0.7200  	 1.071   	 1.071   	
0.7400  	 1.086   	 1.086   	
0.7600  	 1.105   	 1.105   	
0.7800  	 1.130   	 1.130   	
0.8000  	 1.160   	 1.160   	
0.8200  	 1.196   	 1.196   	
0.8400  	 1.238   	 1.238   	
0.8600  	 1.286   	 1.286   	
0.8800  	 1.342   	 1.342   	
0.9000  	 1.405   	 1.405   	
0.9200  	 1.475   	 1.475   	
0.9400  	 1.554   	 1.554   	
0.9600  	 1.640   	 1.640   	
0.9800  	 1.736   	 1.736   	
1.000   	 1.841   	 1.841   	
